BB_Area,Height,Width,Black Pixels Count,Image Name,CC_Type_ID
930,31,30,270,1.bmp_CC_1183.bmp,five_one_one_
930,31,30,278,1.bmp_CC_1166.bmp,five_one_one_
900,30,30,231,1.bmp_CC_1182.bmp,five_one_one_
899,31,29,241,1.bmp_CC_1168.bmp,five_one_one_
870,30,29,248,1.bmp_CC_1175.bmp,five_one_one_
870,30,29,259,1.bmp_CC_1191.bmp,five_one_one_
899,31,29,262,1.bmp_CC_1180.bmp,five_one_one_
900,30,30,240,1.bmp_CC_1186.bmp,five_one_one_
900,30,30,268,1.bmp_CC_1159.bmp,five_one_one_
900,30,30,261,1.bmp_CC_1171.bmp,five_one_one_
870,30,29,239,1.bmp_CC_1190.bmp,five_one_one_
930,31,30,265,1.bmp_CC_1167.bmp,five_one_one_
899,31,29,249,1.bmp_CC_1172.bmp,five_one_one_
899,31,29,251,1.bmp_CC_1176.bmp,five_one_one_
900,30,30,246,1.bmp_CC_1177.bmp,five_one_one_
870,30,29,257,1.bmp_CC_1187.bmp,five_one_one_
899,31,29,250,1.bmp_CC_1164.bmp,five_one_one_
899,31,29,244,1.bmp_CC_1173.bmp,five_one_one_
899,31,29,258,1.bmp_CC_1192.bmp,five_one_one_
930,31,30,256,02.bmp_CC_331.bmp,five_one_one_
930,31,30,276,02.bmp_CC_77.bmp,five_one_one_
930,31,30,270,1.bmp_CC_1162.bmp,five_one_one_
899,31,29,242,1.bmp_CC_1169.bmp,five_one_one_
900,30,30,264,1.bmp_CC_1160.bmp,five_one_one_
870,30,29,261,1.bmp_CC_1163.bmp,five_one_one_
930,31,30,262,1.bmp_CC_1189.bmp,five_one_one_
899,31,29,269,1.bmp_CC_1188.bmp,five_one_one_
930,31,30,267,1.bmp_CC_1161.bmp,five_one_one_
899,31,29,259,1.bmp_CC_1181.bmp,five_one_one_
930,31,30,261,1.bmp_CC_1170.bmp,five_one_one_
930,31,30,258,1.bmp_CC_1178.bmp,five_one_one_
930,31,30,250,1.bmp_CC_1184.bmp,five_one_one_
900,30,30,245,1.bmp_CC_1185.bmp,five_one_one_
930,31,30,248,1.bmp_CC_1174.bmp,five_one_one_
930,31,30,257,1.bmp_CC_1179.bmp,five_one_one_
1053,39,27,251,2.bmp_CC_695.bmp,five_one_two_
1053,39,27,241,2.bmp_CC_693.bmp,five_one_two_
1026,38,27,253,2.bmp_CC_692.bmp,five_one_two_
1026,38,27,243,2.bmp_CC_699.bmp,five_one_two_
1026,38,27,237,2.bmp_CC_697.bmp,five_one_two_
1026,38,27,241,2.bmp_CC_713.bmp,five_one_two_
988,38,26,248,2.bmp_CC_715.bmp,five_one_two_
1026,38,27,244,2.bmp_CC_705.bmp,five_one_two_
988,38,26,240,2.bmp_CC_707.bmp,five_one_two_
988,38,26,241,2.bmp_CC_684.bmp,five_one_two_
